OBJECTID,PROVINCE,DISTRICT,Shape_Leng,ADMIN_UNIT,Shape_Le_1,Shape_Le_2,Shape_Area,Division,Area_km2,Population,pop_density,Dependency_ratio,Literacy Ratio,Incidence(H) Percentage,People_room,Infant_Mortality(1q0),Electricityismain soucre,WaterIsInDwelling,Sanitation(without latrine),Food_security(mod/severe perecentage),Road density(km/km2),Total primary schools,hospital beds,Total Sceondary Schools,Total Basic health units,Health_Facility_Density,School_Density,SVI,IVI,Hazard_Mean,Hazard_Max,Hazard_Norm,Compound_Risk,LISA_Cluster,LISA_p,Cluster,Color,GiZ,GiP,Local_I
17,BALOCHISTAN,JAFFARABAD,3.83309616121,DISTRICT,2.56638615095,2.56638615095,0.16510906638,Nasirabad,1643,1661077,109.79423623504528,69.73,28.65665419147162,55.8,2.54,66,70.85,74.81,20.63,39.75,0.15,1165,360,85,20,231.28423615337798,760.8034083992696,0.6341820151679307,0.5764705882352941,0.019443785905488595,0.050039585679769516,0.0,0.4035508678010749,2,0.494,Low-High,#abd9e9,-0.3053973275981383,0.494,-0.03945165898130353
31,BALOCHISTAN,NASIRABAD,2.86979786885,DISTRICT,2.86979787063,2.86979787063,0.297976560527,Nasirabad,3387,513972,312.82531953743154,69.73,28.65665419147162,77.0,2.54,66,70.85,74.81,20.63,35.06,0.11,1150,420,95,22,130.49896663714202,367.5819309123118,0.6763252797003204,0.8011165032037804,0.025603779720060886,0.07025652378797531,0.4735741117561112,0.650338631553404,4,0.344,High-Low,#fdae61,0.17577526631101123,0.342,-1.25092839855951
110,PUNJAB,MUZAFFARGARH,6.06087775524,DISTRICT,6.06087775209,6.06087775209,0.717308114989,Dera Ghazi Khan,8249,4328549,524.7362104497514,100.9,46.57362939439345,64.8,2.44,73,93.95,89.6,13.69,24.86,0.45,1715,973,240,55,124.62116620196386,236.99842405140015,0.36177160949742954,0.24273160449012238,0.0271878443837045,0.0903363823890686,0.5953554054766723,0.39995287315474143,2,0.323,Low-High,#abd9e9,-0.26293527647948406,0.415,-0.48765243894573845
116,PUNJAB,RAJANPUR,6.24914605142,DISTRICT,6.24914605488,6.24914605488,1.16202125103,Dera Ghazi Khan,12319,1996039,162.0424581912648,100.9,46.57362939439345,7.5,2.44,73,93.95,89.6,13.69,16.99,0.25,990,313,130,33,28.086695348648426,90.91647049273479,0.1969171622708777,0.48900620688833235,0.0324512406240959,0.2262720763683319,1.0,0.5619744563864033,4,0.245,High-Low,#fdae61,-0.26293527647948406,0.161,-0.4876524389457384
124,SINDH,BADIN,5.00829098434,DISTRICT,5.00834769254,5.00834769254,0.577300302631,Hyderabad,6858,1804958,263.1901428988043,96.11,43.762470228005434,74.8,2.94,60,80.44,85.58,17.99,28.22,0.28,2456,324,210,38,52.78506853310003,388.7430737824439,0.5013312290672434,0.5374740577327073,0.028364637705816143,0.06438444554805756,0.6858260892168375,0.5748771253389294,4,0.001,High-Low,#fdae61,,0.001,0.0
125,SINDH,DADU,4.23682585578,DISTRICT,4.3559351505,4.3559351505,0.729707121027,Larakana,7886,1550390,197.10017798118486,115.77,40.748925098377164,51.4,2.94,60,80.44,85.58,17.99,25.54,0.18,1562,345,175,34,48.05985290388029,220.26375855947248,0.5063497662922357,0.6473817586867346,0.03184234175651751,0.21059447526931763,0.9531884691701173,0.7023066647163625,4,0.333,High-Low,#fdae61,0.4075367624383766,0.247,-1.7644674238029912
126,SINDH,GHOTKI,3.79730810176,DISTRICT,4.09732840114,4.09732840114,0.595950419613,Sukkur,6083,1648708,271.04,103.71,48.25294180860781,67.3,2.94,60,80.44,85.58,17.99,13.63,0.32,1546,308,145,27,55.0715107677133,277.98783494986026,0.42967191109907416,0.542606460040416,0.025628858595819325,0.07096794992685318,0.4755021504309309,0.4825935071901403,3,0.499,Low-Low,#2c7bb6,-0.12863715080940497,0.42,0.0022583251904095087
128,SINDH,JACOBABAD,2.85527709441,DISTRICT,2.85527709513,2.85527709513,0.254731069218,Larakana,2698,1007009,373.24,115.77,40.748925098377164,32.3,2.94,60,80.44,85.58,17.99,20.73,0.3,1165,340,120,24,134.91475166790215,476.27872498146775,0.4872678318534577,0.4264774850086903,0.022217044000513556,0.05772845819592476,0.2132052853551576,0.3756502007391019,3,0.016,Low-Low,#2c7bb6,-1.0877498611026013,0.017,1.2027002753347638
132,SINDH,KHAIRPUR,7.0159045816,DISTRICT,7.01590458351,7.01590458351,1.44586357852,Sukkur,15910,2405190,151.17,103.71,48.25294180860781,51.6,2.94,60,80.44,85.58,17.99,34.04,0.27,2746,147,260,45,12.067881835323696,188.93777498428662,0.4678450066680848,0.6359742298929572,0.02591338334417918,0.10830670595169067,0.4973761261252563,0.5337317875620994,4,0.125,High-Low,#fdae61,-0.4627690284570873,0.117,-0.154798973667616
133,SINDH,LARKANA,2.68535164249,DISTRICT,2.67880204397,2.67880204397,0.174143064532,Larakana,15213,1521786,781.2,115.77,40.748925098377164,42.0,2.94,60,80.44,85.58,17.99,17.28,0.38,1011,345,190,35,24.978636692302636,78.94563859856702,0.5484835981772644,0.5900253166832289,0.02025004770401615,0.052297137677669525,0.0619845939093826,0.4001645029232919,3,0.376,Low-Low,#2c7bb6,-0.25200133774241307,0.396,0.05395684433389922
